index,true,top1,top1_correct,top3_correct,questions_asked
4847,Bronchial Asthma,Bronchial Asthma,True,True,7
3063,Heart Attack,Heart Attack,True,True,6
1323,Bronchial Asthma,Bronchial Asthma,True,True,10
4418,Hypothyroidism,Hypothyroidism,True,True,6
4344,Psoriasis,Psoriasis,True,True,5
4,Fungal Infection,Fungal Infection,True,True,5
2655,Hypothyroidism,Hypothyroidism,True,True,6
4002,Tuberculosis,Tuberculosis,True,True,5
159,Malaria,Malaria,True,True,5
916,Bronchial Asthma,Bronchial Asthma,True,True,9
2973,Hepatitis C,Hepatitis C,True,True,6
2519,Typhoid,Typhoid,True,True,5
1961,Hyperthyroidism,Hyperthyroidism,True,True,6
474,AIDS,AIDS,True,True,7
1973,Hypoglycemia,Hypoglycemia,True,True,5
4647,Jaundice,Jaundice,True,True,6
4913,Osteoarthritis,Osteoarthritis,True,True,6
701,Heart Attack,Heart Attack,True,True,6
3981,Drug Reaction,Drug Reaction,True,True,6
566,Malaria,Malaria,True,True,5
4363,Dengue,Dengue,True,True,5
1030,Hepatitis C,Hepatitis C,True,True,6
1051,Hepatitis E,Hepatitis E,True,True,4
3893,Psoriasis,Psoriasis,True,True,5
4503,Osteoarthritis,Osteoarthritis,True,True,6
1352,Cervical Spondylosis,Cervical Spondylosis,True,True,6
2171,Cervical Spondylosis,Cervical Spondylosis,True,True,6
4322,Dengue,Dengue,True,True,5
3466,Hepatitis D,Hepatitis D,True,True,5
1735,Bronchial Asthma,Bronchial Asthma,True,True,7
4417,Varicose Veins,Varicose Veins,True,True,6
1647,Fungal Infection,Fungal Infection,True,True,9
2553,Migraine,Migraine,True,True,6
3268,Heart Attack,Heart Attack,True,True,6
3059,Tuberculosis,Tuberculosis,True,True,5
3588,Hepatitis C,Hepatitis C,True,True,6
4239,Chickenpox,Chickenpox,True,True,5
3698,Gastroenteritis,Gastroenteritis,True,True,6
991,Dengue,Dengue,True,True,5
2030,Psoriasis,Psoriasis,True,True,5
1840,Hepatitis B,Hepatitis B,True,True,5
524,Migraine,Migraine,True,True,6
2769,Hepatitis D,Hepatitis D,True,True,5
172,Dengue,Dengue,True,True,5
4537,Pneumonia,Pneumonia,True,True,5
1885,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,9
1804,Chickenpox,Chickenpox,True,True,5
58,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
581,Dengue,Dengue,True,True,5
482,Diabetes ,Diabetes ,True,True,17
1875,Hepatitis E,Chronic Cholestasis,False,True,5
552,Jaundice,Jaundice,True,True,6
257,Tuberculosis,Tuberculosis,True,True,5
2706,Fungal Infection,Fungal Infection,True,True,5
580,Dengue,Dengue,True,True,8
4211,Heart Attack,Heart Attack,True,True,6
1949,Varicose Veins,Varicose Veins,True,True,6
2281,Hepatitis E,Hepatitis E,True,True,4
3976,Impetigo,Impetigo,True,True,6
1755,Migraine,Migraine,True,True,6
4859,Hepatitis C,Hepatitis C,True,True,6
1083,Common Cold,Common Cold,True,True,5
4677,Chronic Cholestasis,Chronic Cholestasis,True,True,5
4720,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
3872,Typhoid,Typhoid,True,True,5
1990,Arthritis,Arthritis,True,True,7
3874,Hepatitis B,Hepatitis B,True,True,5
3334,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,7
1559,Hyperthyroidism,Hyperthyroidism,True,True,6
772,Vertigo,Hypertension ,False,True,5
794,Urinary Tract Infection,Urinary Tract Infection,True,True,9
3531,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
2902,Hyperthyroidism,Hyperthyroidism,True,True,6
3469,Tuberculosis,Tuberculosis,True,True,5
3367,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
3825,Cervical Spondylosis,Cervical Spondylosis,True,True,6
443,Chronic Cholestasis,Chronic Cholestasis,True,True,5
806,Psoriasis,Psoriasis,True,True,5
496,Gastroenteritis,Gastroenteritis,True,True,6
3298,Typhoid,Typhoid,True,True,5
2779,Hyperthyroidism,Hyperthyroidism,True,True,6
895,Diabetes ,Diabetes ,True,True,5
2036,Psoriasis,Psoriasis,True,True,5
1569,Hypoglycemia,Hypoglycemia,True,True,5
1558,Hyperthyroidism,Hyperthyroidism,True,True,6
4393,AIDS,AIDS,True,True,7
3675,Common Cold,Common Cold,True,True,5
1148,Hyperthyroidism,Hyperthyroidism,True,True,6
4950,Varicose Veins,Varicose Veins,True,True,6
1503,Pneumonia,Pneumonia,True,True,5
4761,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
3789,Dengue,Dengue,True,True,5
2046,Impetigo,Impetigo,True,True,6
617,Hepatitis B,Hepatitis B,True,True,9
3630,Hepatitis D,Hepatitis D,True,True,5
4508,Psoriasis,Psoriasis,True,True,5
802,Psoriasis,Psoriasis,True,True,17
414,Fungal Infection,Fungal Infection,True,True,5
4428,Fungal Infection,Fungal Infection,True,True,5
120,Cervical Spondylosis,Cervical Spondylosis,True,True,6
764,Arthritis,Arthritis,True,True,7
1936,Heart Attack,Heart Attack,True,True,6
1362,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,8
3329,Gastroenteritis,Gastroenteritis,True,True,6
3978,Allergy,Allergy,True,True,10
3943,Diabetes ,Diabetes ,True,True,5
1751,Migraine,Migraine,True,True,6
3285,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
480,Diabetes ,Diabetes ,True,True,5
1348,Migraine,Migraine,True,True,6
3104,Heart Attack,Heart Attack,True,True,6
17,Allergy,Allergy,True,True,18
3198,Fungal Infection,Fungal Infection,True,True,5
2172,Cervical Spondylosis,Cervical Spondylosis,True,True,6
3727,Acne,Acne,True,True,7
2336,Dimorphic Hemmorhoids (piles),Dimorphic Hemmorhoids (piles),True,True,8
3465,Hepatitis C,Hepatitis C,True,True,6
4552,Allergy,Allergy,True,True,10
3986,Bronchial Asthma,Bronchial Asthma,True,True,7
1268,Chronic Cholestasis,Chronic Cholestasis,True,True,5
1555,Hyperthyroidism,Hyperthyroidism,True,True,6
2430,Urinary Tract Infection,Urinary Tract Infection,True,True,9
1783,Jaundice,Jaundice,True,True,6
479,AIDS,AIDS,True,True,7
4441,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,7
499,Gastroenteritis,Gastroenteritis,True,True,6
2569,Pneumonia,Pneumonia,True,True,5
468,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
410,Fungal Infection,Fungal Infection,True,True,5
3905,Hypertension ,Hypertension ,True,True,5
4119,Hepatitis A,Hepatitis A,True,True,5
4350,Drug Reaction,Drug Reaction,True,True,6
1289,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
465,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,11
4160,Hepatitis A,Hepatitis A,True,True,5
656,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
1522,Heart Attack,Heart Attack,True,True,15
561,Malaria,Malaria,True,True,5
556,Jaundice,Jaundice,True,True,10
1926,Dimorphic Hemmorhoids (piles),Dimorphic Hemmorhoids (piles),True,True,8
3307,Pneumonia,Pneumonia,True,True,5
982,Chickenpox,Chickenpox,True,True,5
4666,Hypoglycemia,Hypoglycemia,True,True,5
2016,Acne,Acne,True,True,7
325,Hyperthyroidism,Hyperthyroidism,True,True,6
671,Common Cold,Common Cold,True,True,5
3434,Hypothyroidism,Hypothyroidism,True,True,6
4630,Urinary Tract Infection,Urinary Tract Infection,True,True,9
4282,Typhoid,Typhoid,True,True,5
2591,Gastroenteritis,Gastroenteritis,True,True,6
2136,Gastroenteritis,Gastroenteritis,True,True,6
1673,Chronic Cholestasis,Chronic Cholestasis,True,True,5
2573,Hypothyroidism,Hypothyroidism,True,True,6
1955,Hypothyroidism,Hypothyroidism,True,True,6
2175,Cervical Spondylosis,Cervical Spondylosis,True,True,6
3242,Chronic Cholestasis,Chronic Cholestasis,True,True,5
1072,Tuberculosis,Tuberculosis,True,True,5
2457,Impetigo,Impetigo,True,True,6
3745,Jaundice,Jaundice,True,True,6
2590,Diabetes ,Diabetes ,True,True,5
594,Typhoid,Typhoid,True,True,5
76,Diabetes ,Diabetes ,True,True,5
3754,Hepatitis E,Hepatitis E,True,True,4
4612,Hepatitis B,Hepatitis B,True,True,5
819,Impetigo,Impetigo,True,True,6
600,Hepatitis A,Hepatitis A,True,True,5
4404,Dengue,Dengue,True,True,5
1746,Hypertension ,Hypertension ,True,True,5
4144,Chronic Cholestasis,Chronic Cholestasis,True,True,5
4705,Hypothyroidism,Hypothyroidism,True,True,6
1085,Common Cold,Common Cold,True,True,5
2859,Varicose Veins,Varicose Veins,True,True,6
563,Malaria,Malaria,True,True,5
2001,Vertigo,Vertigo,True,True,6
3027,Osteoarthritis,Osteoarthritis,True,True,6
2334,Dimorphic Hemmorhoids (piles),Dimorphic Hemmorhoids (piles),True,True,8
1292,AIDS,AIDS,True,True,7
3589,Hepatitis D,Hepatitis D,True,True,5
4450,Hepatitis D,Hepatitis D,True,True,5
2478,Typhoid,Typhoid,True,True,5
4333,Dimorphic Hemmorhoids (piles),Dimorphic Hemmorhoids (piles),True,True,8
64,AIDS,AIDS,True,True,7
4543,Hypoglycemia,Hypoglycemia,True,True,5
2452,Impetigo,Impetigo,True,True,10
848,GERD,GERD,True,True,6
1100,Dimorphic Hemmorhoids (piles),Dimorphic Hemmorhoids (piles),True,True,8
4919,Impetigo,Impetigo,True,True,6
945,Cervical Spondylosis,Cervical Spondylosis,True,True,6
876,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
4838,Fungal Infection,Fungal Infection,True,True,5
4928,Gastroenteritis,Gastroenteritis,True,True,6
2231,Typhoid,Typhoid,True,True,5
2308,Tuberculosis,Tuberculosis,True,True,5
1725,Gastroenteritis,Gastroenteritis,True,True,13
2808,Hepatitis B,Hepatitis B,True,True,5
1667,GERD,GERD,True,True,6
2162,Migraine,Migraine,True,True,6
4140,Impetigo,Impetigo,True,True,6
4811,Jaundice,Jaundice,True,True,6
2057,Fungal Infection,Fungal Infection,True,True,9
416,Fungal Infection,Fungal Infection,True,True,14
756,Osteoarthritis,Osteoarthritis,True,True,6
4745,Varicose Veins,Varicose Veins,True,True,6
2266,Hepatitis C,Hepatitis C,True,True,6
361,Vertigo,Vertigo,True,True,6
29,GERD,GERD,True,True,13
2732,Common Cold,Common Cold,True,True,5
1071,Tuberculosis,Tuberculosis,True,True,5
2145,Bronchial Asthma,Bronchial Asthma,True,True,7
4816,Hepatitis A,Hepatitis A,True,True,5
3619,Migraine,Migraine,True,True,6
4519,Bronchial Asthma,Bronchial Asthma,True,True,7
3503,Typhoid,Typhoid,True,True,5
4594,GERD,GERD,True,True,6
79,Diabetes ,Diabetes ,True,True,5
4809,Cervical Spondylosis,Cervical Spondylosis,True,True,6
616,Hepatitis B,Hepatitis B,True,True,5
1221,Impetigo,Impetigo,True,True,6
4469,Fungal Infection,Fungal Infection,True,True,5
295,Heart Attack,Heart Attack,True,True,12
3024,Hypothyroidism,Hypothyroidism,True,True,6
4526,Chickenpox,Chickenpox,True,True,5
1213,Psoriasis,Psoriasis,True,True,10
3520,Arthritis,Arthritis,True,True,7
1044,Hepatitis D,Hepatitis D,True,True,5
342,Osteoarthritis,Osteoarthritis,True,True,6
2525,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
2987,Arthritis,Arthritis,True,True,7
326,Hyperthyroidism,Hyperthyroidism,True,True,6
2931,Hepatitis B,Hepatitis B,True,True,5
1720,Gastroenteritis,Gastroenteritis,True,True,6
2044,Impetigo,Impetigo,True,True,6
842,GERD,GERD,True,True,6
2897,Pneumonia,Pneumonia,True,True,5
4715,Fungal Infection,Fungal Infection,True,True,5
1266,Chronic Cholestasis,Chronic Cholestasis,True,True,5
1939,Heart Attack,Heart Attack,True,True,6
1331,Hypertension ,Hypertension ,True,True,14
1450,Hepatitis D,Hepatitis D,True,True,5
3377,Malaria,Malaria,True,True,5
203,Hepatitis B,Hepatitis B,True,True,13
1469,Hepatitis E,Hepatitis E,True,True,4
2721,Malaria,Malaria,True,True,5
3372,Hypertension ,Hypertension ,True,True,5
2032,Psoriasis,Psoriasis,True,True,17
4834,Acne,Acne,True,True,7
1304,Diabetes ,Diabetes ,True,True,5
885,AIDS,AIDS,True,True,7
3133,Dengue,Dengue,True,True,5
317,Hypothyroidism,Hypothyroidism,True,True,6
3855,Allergy,Allergy,True,True,10
1822,Typhoid,Typhoid,True,True,5
1634,Impetigo,Impetigo,True,True,6
3770,Psoriasis,Psoriasis,True,True,5
2864,Arthritis,Arthritis,True,True,7
2500,Impetigo,Impetigo,True,True,6
1864,Hepatitis D,Hepatitis D,True,True,5
1826,Typhoid,Typhoid,True,True,5
193,Hepatitis A,Hepatitis A,True,True,16
1582,Arthritis,AIDS,False,False,20
3264,Tuberculosis,Tuberculosis,True,True,5
2689,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
2282,Hepatitis E,Hepatitis E,True,True,4
568,Malaria,Gastroenteritis,False,True,6
2286,Hepatitis E,Hepatitis E,True,True,4
2876,AIDS,AIDS,True,True,7
4173,Hyperthyroidism,Hyperthyroidism,True,True,6
3274,Arthritis,Arthritis,True,True,7
4916,Acne,Acne,True,True,7
2712,AIDS,AIDS,True,True,7
226,Hepatitis D,Hepatitis D,True,True,5
944,Cervical Spondylosis,Cervical Spondylosis,True,True,20
2139,Gastroenteritis,Gastroenteritis,True,True,6
1462,Hepatitis E,Hepatitis E,True,True,4
2174,Cervical Spondylosis,Cervical Spondylosis,True,True,20
313,Hypothyroidism,Hypothyroidism,True,True,14
888,AIDS,AIDS,True,True,7
3559,Hypoglycemia,Hypoglycemia,True,True,5
2831,GERD,GERD,True,True,6
4692,Typhoid,Typhoid,True,True,5
3574,Diabetes ,Diabetes ,True,True,5
4189,Diabetes ,Diabetes ,True,True,5
947,Cervical Spondylosis,Cervical Spondylosis,True,True,6
3155,Psoriasis,Psoriasis,True,True,5
1557,Hyperthyroidism,Hyperthyroidism,True,True,6
2086,Chronic Cholestasis,Chronic Cholestasis,True,True,5
363,Vertigo,Vertigo,True,True,6
3572,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
13,Allergy,Allergy,True,True,18
4259,Vertigo,Vertigo,True,True,6
4410,Hepatitis E,Hepatitis E,True,True,4
1614,Urinary Tract Infection,Urinary Tract Infection,True,True,9
2983,Hypothyroidism,Hypothyroidism,True,True,6
3533,Diabetes ,Diabetes ,True,True,5
573,Chickenpox,Chickenpox,True,True,8
2704,Psoriasis,Psoriasis,True,True,5
2571,Heart Attack,Heart Attack,True,True,6
1020,Hepatitis B,Hepatitis B,True,True,5
2460,Fungal Infection,Fungal Infection,True,True,5
4154,Paralysis (brain hemorrhage),Paralysis (brain hemorrhage),True,True,7
2533,Hyperthyroidism,Hyperthyroidism,True,True,6
3345,Alcoholic Hepatitis,Alcoholic Hepatitis,True,True,5
2672,Diabetes ,Diabetes ,True,True,5
3296,Chickenpox,Chickenpox,True,True,5
2422,Acne,AIDS,False,True,20
1042,Hepatitis D,Hepatitis D,True,True,5
1571,Osteoarthritis,Osteoarthritis,True,True,6
3444,Fungal Infection,Fungal Infection,True,True,5
3105,Varicose Veins,Varicose Veins,True,True,6
1425,Hepatitis A,Hepatitis A,True,True,5
2465,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
3326,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
4488,Hepatitis A,Hepatitis A,True,True,5
3,Fungal Infection,Fungal Infection,True,True,9
2489,Heart Attack,Heart Attack,True,True,6
2350,Varicose Veins,Varicose Veins,True,True,6
1721,Gastroenteritis,Gastroenteritis,True,True,6
3521,Vertigo,Vertigo,True,True,6
2639,Malaria,Malaria,True,True,5
3809,Acne,Acne,True,True,7
4608,Chickenpox,Chickenpox,True,True,5
3622,Jaundice,Jaundice,True,True,6
1750,Migraine,Migraine,True,True,6
4187,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
3876,Hepatitis D,Hepatitis D,True,True,5
1390,Chickenpox,Chickenpox,True,True,5
694,Dimorphic Hemmorhoids (piles),Dimorphic Hemmorhoids (piles),True,True,8
2324,Pneumonia,Pneumonia,True,True,9
4222,Impetigo,Impetigo,True,True,6
2745,Psoriasis,Psoriasis,True,True,5
765,Arthritis,Arthritis,True,True,7
1924,Dimorphic Hemmorhoids (piles),Dimorphic Hemmorhoids (piles),True,True,8
2542,Fungal Infection,Fungal Infection,True,True,5
4778,Hepatitis D,Hepatitis D,True,True,5
1631,Impetigo,Impetigo,True,True,6
1207,Urinary Tract Infection,Urinary Tract Infection,True,True,9
200,Hepatitis B,Hepatitis B,True,True,5
378,Acne,Acne,True,True,7
4888,Bronchial Asthma,Bronchial Asthma,True,True,7
3892,Urinary Tract Infection,Urinary Tract Infection,True,True,9
596,Typhoid,Typhoid,True,True,5
3730,Impetigo,Impetigo,True,True,6
3395,Hypoglycemia,Hypoglycemia,True,True,5
1592,Vertigo,Hypertension ,False,True,5
3145,Heart Attack,Heart Attack,True,True,6
4049,Hypothyroidism,Hypothyroidism,True,True,6
3273,Osteoarthritis,Osteoarthritis,True,True,6
1998,Arthritis,Arthritis,True,True,7
1208,Urinary Tract Infection,Urinary Tract Infection,True,True,9
45,Drug Reaction,Drug Reaction,True,True,12
873,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
3482,Urinary Tract Infection,Urinary Tract Infection,True,True,9
1792,Malaria,Malaria,True,True,5
1440,Hepatitis C,Hepatitis C,True,True,6
4243,Hepatitis B,Hepatitis B,True,True,5
3805,Hypoglycemia,Hypoglycemia,True,True,5
411,Fungal Infection,Fungal Infection,True,True,9
2041,Impetigo,Impetigo,True,True,6
994,Dengue,Dengue,True,True,5
3739,Gastroenteritis,Gastroenteritis,True,True,6
1092,Pneumonia,Pneumonia,True,True,5
3806,Osteoarthritis,Osteoarthritis,True,True,6
4351,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
2599,Chickenpox,Chickenpox,True,True,5
3625,Dengue,Dengue,True,True,5
4135,Arthritis,Arthritis,True,True,7
3495,Hypertension ,Hypertension ,True,True,5
3652,Chronic Cholestasis,Chronic Cholestasis,True,True,5
1303,Diabetes ,Diabetes ,True,True,5
3888,Osteoarthritis,Osteoarthritis,True,True,6
3686,Acne,Acne,True,True,7
2123,Diabetes ,Diabetes ,True,True,5
2025,Urinary Tract Infection,Urinary Tract Infection,True,True,9
2271,Hepatitis D,Hepatitis D,True,True,5
4270,AIDS,AIDS,True,True,7
3969,Hypoglycemia,Hypoglycemia,True,True,5
1959,Hypothyroidism,Hypothyroidism,True,True,6
2249,Hepatitis A,Hepatitis A,True,True,5
3603,Vertigo,Vertigo,True,True,6
634,Hepatitis D,Hepatitis D,True,True,5
2340,Heart Attack,Heart Attack,True,True,6
1920,Dimorphic Hemmorhoids (piles),Dimorphic Hemmorhoids (piles),True,True,8
2225,Dengue,Dengue,True,True,5
2751,Drug Reaction,Drug Reaction,True,True,6
2619,Vertigo,Vertigo,True,True,6
4424,Acne,Acne,True,True,7
660,Tuberculosis,Tuberculosis,True,True,5
4853,Malaria,Malaria,True,True,5
1235,Fungal Infection,Fungal Infection,True,True,9
1894,Tuberculosis,Heart Attack,False,True,6
3137,Hepatitis C,Hepatitis C,True,True,6
1251,GERD,GERD,True,True,6
1752,Migraine,Migraine,True,True,6
526,Migraine,Migraine,True,True,6
3398,Vertigo,Vertigo,True,True,6
3339,Typhoid,Typhoid,True,True,5
2710,Drug Reaction,Drug Reaction,True,True,6
3816,Chronic Cholestasis,Chronic Cholestasis,True,True,5
3406,Chronic Cholestasis,Chronic Cholestasis,True,True,5
510,Hypertension ,Hypertension ,True,True,5
1694,Peptic Ulcer Disease,Peptic Ulcer Disease,True,True,6
3441,Urinary Tract Infection,Urinary Tract Infection,True,True,9
3190,Hypoglycemia,Hypoglycemia,True,True,5
160,Chickenpox,Chickenpox,True,True,5
3116,Fungal Infection,Fungal Infection,True,True,5
3907,Cervical Spondylosis,Cervical Spondylosis,True,True,6
48,Drug Reaction,Drug Reaction,True,True,6
2881,Migraine,Migraine,True,True,6
2446,Psoriasis,Psoriasis,True,True,5
3194,Acne,Acne,True,True,7
3432,Heart Attack,Heart Attack,True,True,6
1806,Chickenpox,Chickenpox,True,True,5
3999,Hepatitis D,Hepatitis D,True,True,5
1797,Malaria,Malaria,True,True,5
2235,Typhoid,Typhoid,True,True,5
3570,Chronic Cholestasis,Chronic Cholestasis,True,True,5
4714,Impetigo,Impetigo,True,True,6
237,Hepatitis E,Hepatitis E,True,True,4
3185,Dimorphic Hemmorhoids (piles),Dimorphic Hemmorhoids (piles),True,True,8
2753,AIDS,AIDS,True,True,7
3312,Hyperthyroidism,Hyperthyroidism,True,True,6
