,AIDS,Acne,Alcoholic Hepatitis,Allergy,Arthritis,Bronchial Asthma,Cervical Spondylosis,Chickenpox,Chronic Cholestasis,Common Cold,Dengue,Diabetes ,Dimorphic Hemmorhoids (piles),Drug Reaction,Fungal Infection,GERD,Gastroenteritis,Heart Attack,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis D,Hepatitis E,Hypertension ,Hyperthyroidism,Hypoglycemia,Hypothyroidism,Impetigo,Jaundice,Malaria,Migraine,Osteoarthritis,Paralysis (brain hemorrhage),Peptic Ulcer Disease,Pneumonia,Psoriasis,Tuberculosis,Typhoid,Urinary Tract Infection,Varicose Veins,Vertigo
Dengue,0.15628146906815998,0.1562814690681599,0.1163284713944823,0.15130686120868353,0.020437583444619826,0.2281432101175443,0.13798670002279056,0.5724202932047818,0.3212026239643113,0.3886214781161953,1.0000000000000016,0.09850813153769312,0.02043758344461981,0.13492518147681692,0.15130686120868414,0.12220476187750154,0.14929693550659273,0.14929693550659273,0.4126020851773691,0.2444795565265846,0.34887356693695315,0.4565609104848364,0.4489162647325892,0.13940203041786275,0.09427595714649285,0.3175785625419173,0.08384173225946795,0.24345677735809448,0.2917720552825758,0.5790671372140845,0.10858191411320142,0.12472014590509639,0.28280275165660007,0.2334323153786883,0.3240301708926273,0.2298660584183159,0.40403981983152787,0.4971782740056564,0.022395086341184187,0.11712933691791233,0.3488735669369532
Diabetes ,0.020958381100750365,0.020958381100750365,0.01842918361155147,0.021175737965839776,0.01941089004553164,0.13992707874780844,0.01968634957687336,0.2013829107691201,0.018429183611551454,0.09064702542746746,0.09850813153769312,0.9999999999999982,0.019410890045531638,0.01998244939890697,0.02117573796583969,0.01912971572884479,0.020958381100750312,0.020958381100750312,0.01779838770551899,0.19215170669779383,0.14538446108111605,0.12045672832761924,0.10135440037333737,0.019831678128712192,0.3831591597745741,0.2838832491260847,0.1805058096885272,0.019675404100656647,0.23543578367001838,0.018178928029840242,0.22287669953327638,0.018813000890372005,0.02095838110075032,0.019020900206154132,0.10913858072278321,0.018813000890372054,0.16776201059273707,0.11390415601064036,0.02094327232952027,0.2524282007143178,0.01891537617696805
Dimorphic Hemmorhoids (piles),0.01981467228502095,0.019814672285020894,0.01896288024867957,0.019984695453150007,0.019018796267449987,0.01908239066619643,0.019231619723072885,0.019665761204655595,0.01896288024867955,0.021277562343807337,0.02043758344461981,0.019410890045531638,0.9999999999999976,0.019462196155860968,0.0199846954531499,0.019166734278374706,0.01981467228502085,0.01981467228502085,0.019632616065482833,0.019878452464812228,0.019000922139033472,0.019270632632708222,0.020141091317618293,0.019344565224486368,0.019632616065482812,0.0198784524648122,0.020137112633927434,0.019220927073556222,0.019088951838814656,0.01908257858667362,0.01927063263270817,0.018922201689179304,0.01981467228502086,0.019082390666196422,0.019632616065482833,0.018922201689179314,0.02098596153500906,0.15010565499312511,0.01980038800661621,0.019024886694774007,0.019000922139033472
Drug Reaction,0.02023184974340607,0.24565961555104615,0.019461290963408363,0.020403167448675548,0.019462196155860985,0.01955497827559711,0.01967643374411763,0.2865355571821647,0.19242874593052928,0.02199294382274226,0.13492518147681692,0.01998244939890697,0.019462196155860968,0.9999999999999996,0.4655897058104818,0.201327131049798,0.02023184974340607,0.020231849743406066,0.020226689794414415,0.15036351239367765,0.01947297320127257,0.019819248561575,0.02077801620147368,0.019790181978756354,0.020226689794414436,0.020494295347805832,0.020773911699245456,0.21750414911433413,0.18142340345226263,0.01960646201276577,0.019819248561575013,0.019393759320570452,0.02023184974340605,0.019554978275597143,0.020226689794414412,0.19645186061944264,0.02168252172657,0.020226689794414412,0.23372955111458324,0.01952367250134049,0.019472973201272642
Fungal Infection,0.020527900879963267,0.2752974429892103,0.020294546522429166,0.020689086712825572,0.01998469545315,0.020232863643059137,0.020185106717451502,0.31442696281251703,0.20557651349886716,0.023793746354731093,0.15130686120868414,0.02117573796583969,0.0199846954531499,0.4655897058104818,0.9999999999999993,0.02031242823576275,0.020527900879963267,0.020527900879963267,0.0215222572928417,0.16100088093889936,0.02015617777898778,0.020899584253277953,0.022259445400515138,0.020291807082314983,0.021522257292841712,0.02188555436765099,0.022255048255842694,0.24376330492022688,0.19390623161306497,0.020568789841260933,0.020899584253277866,0.02008224241776143,0.02052790087996325,0.020232863643059183,0.02152225729284169,0.22018630339283232,0.023408639627847692,0.021522257292841684,0.02051310243934241,0.020352695010539473,0.020156177778987764
GERD,0.020131389996619953,0.02013138999661998,0.16619333914519255,0.02031242823576275,0.0191667342783746,0.18093681341788145,0.01939409467023413,0.019325468381972234,0.16619333914519238,0.21984737644910554,0.12220476187750154,0.01912971572884479,0.019166734278374706,0.201327131049798,0.02031242823576275,0.999999999999998,0.21209049477177402,0.4257643572960913,0.13515145686569977,0.019479699907177298,0.01904317394165546,0.14897531654141888,0.12566471761252002,0.1992464349737301,0.01929018536990269,0.13006757958854845,0.019686175490324025,0.019383311685754055,0.15673733314928862,0.15668500306052902,0.1489753165414189,0.018958968865830098,0.21209049477177375,0.18093681341788143,0.2701457823699801,0.018958968865830025,0.3210022509915712,0.13515145686569965,0.020116877398316614,0.018972278195362537,0.17946399743537292
Gastroenteritis,0.020367252024697267,0.020367252024697316,0.20285063639178186,0.02052790087996327,0.01981467228502095,0.020052069556413893,0.020014487360224372,0.02132786467524297,0.2028506363917816,0.02352276535727683,0.14929693550659273,0.020958381100750312,0.01981467228502085,0.02023184974340607,0.020527900879963267,0.21209049477177402,1.0000000000000018,0.25853981236468704,0.3167185214832453,0.0216517243673032,0.019975610152155925,0.18188292653461344,0.1535054231478983,0.020120852085320804,0.1729640707176835,0.15886323343916728,0.022013409460300042,0.02000335944163616,0.19133442198476394,0.3621719758410599,0.02069072601768924,0.019901884399111884,0.2585398123646868,0.2208130055705084,0.021296530919157976,0.019901884399111894,0.1409833305506742,0.31671852148324525,0.02035256939487264,0.020162273820501637,0.21901716282089537
Heart Attack,0.020367252024697274,0.020367252024697316,0.20285063639178186,0.02052790087996327,0.01981467228502095,0.22081300557050926,0.020014487360224372,0.02132786467524297,0.2028506363917816,0.15024335379959486,0.14929693550659273,0.020958381100750312,0.01981467228502085,0.020231849743406066,0.020527900879963267,0.4257643572960913,0.25853981236468704,1.0000000000000018,0.16505098168471702,0.0216517243673032,0.019975610152155925,0.18188292653461344,0.1535054231478983,0.2431225151175896,0.16505098168471677,0.2960747425110307,0.022013409460300046,0.02000335944163616,0.19133442198476394,0.3621719758410599,0.02069072601768924,0.019901884399111884,0.25853981236468676,0.2208130055705091,0.4683860612817701,0.01990188439911189,0.5074723044466584,0.165050981684717,0.020352569394872635,0.020162273820501737,0.21901716282089542
Hepatitis A,0.021296530919157845,0.021296530919157876,0.34941762078276184,0.021522257292841743,0.01963261606548273,0.019177073547833906,0.019919045578467753,0.19664438953773689,0.6860745550922538,0.09411528639751936,0.4126020851773691,0.01779838770551899,0.019632616065482833,0.020226689794414415,0.0215222572928417,0.13515145686569977,0.3167185214832453,0.16505098168471702,0.9999999999999982,0.44060585629123517,0.499284488627596,0.8014294340926995,0.6693202580392134,0.020070070872306424,0.10446723220553585,0.18328727697254366,0.017639262999327148,0.019907970724859878,0.4309620057692462,0.436480724366245,0.018023702161989345,0.13808532046375055,0.16505098168471635,0.3763764105102349,0.017700972963043148,0.13808532046375174,0.32120164804795,0.36476600993301367,0.02128117837775192,0.018599652050291487,0.25933942590159303
Hepatitis B,0.0216517243673032,0.021651724367303192,0.2291968254794315,0.021885554367650915,0.019878452464812155,0.12898669712726327,0.020175481943221982,0.442646694277827,0.5505309180943869,0.15258701281449286,0.2444795565265846,0.19215170669779383,0.019878452464812228,0.15036351239367765,0.16100088093889936,0.019479699907177298,0.0216517243673032,0.0216517243673032,0.44060585629123517,0.9999999999999973,0.47760883858905134,0.5800761880253188,0.4880489921592413,0.020332017035136988,0.10047015858920695,0.09662052311959067,0.16504842776755985,0.020164264512742686,0.5107374219447689,0.018284252341772396,0.01805299390411802,0.019138141373785042,0.021651724367303175,0.2446453227634458,0.18760817010558714,0.019138141373785063,0.3072033701849525,0.18760817010558734,0.021636115769070846,0.12476881116004547,0.019248631574825575
Hepatitis C,0.019975610152155925,0.01997561015215592,0.17144093035651156,0.020156177778987698,0.01900092213903349,0.3457528815187417,0.0192277716327527,0.260508116166174,0.621637930891914,0.11577630637804945,0.34887356693695315,0.14538446108111605,0.019000922139033472,0.01947297320127257,0.02015617777898778,0.01904317394165546,0.019975610152155925,0.019975610152155925,0.499284488627596,0.47760883858905134,0.9999999999999964,0.6853699835449305,0.5743082896752034,0.019347951223074953,0.1392033823432004,0.24858480506768074,0.12357816039737331,0.019217081122748076,0.30449525139235945,0.161570726167994,0.018854142608293926,0.018782473307003188,0.019975610152155907,0.1779763401638813,0.1392033823431997,0.018782473307003236,0.32043923123108525,0.2656073933915959,0.019961209854608107,0.17261699635082542,0.1852061479636756
Hepatitis D,0.020690726017689225,0.02069072601768919,0.38948349169363417,0.020899584253277797,0.019270632632708118,0.14773885061526892,0.019534894297370712,0.21356475536012748,0.7605248039837139,0.09581097402050098,0.4565609104848364,0.12045672832761924,0.019270632632708222,0.019819248561575,0.020899584253277953,0.14897531654141888,0.18188292653461344,0.18188292653461344,0.8014294340926995,0.5800761880253188,0.6853699835449305,0.9999999999999974,0.8329456542418174,0.01967442195270146,0.11531491077109485,0.2966420771969546,0.10244014328963297,0.019524033029257443,0.5967715809136526,0.24958049542067995,0.018164270335816232,0.15233055281499033,0.18188292653461327,0.4194838157594902,0.11531491077109465,0.1523305528149904,0.3457515595670917,0.4122645996562774,0.020675810197402996,0.14309889869428896,0.2882717936020121
Hepatitis E,0.1607432762278522,0.02201775886206349,0.3267111617576994,0.02225944540051499,0.02014109131761835,0.2354538808048599,0.02044838077044423,0.2610602605262514,0.6399043984065971,0.14351034277346392,0.4489162647325892,0.10135440037333737,0.020141091317618293,0.02077801620147368,0.022259445400515138,0.12566471761252002,0.1535054231478983,0.1535054231478983,0.6693202580392134,0.4880489921592413,0.5743082896752034,0.8329456542418174,1.0000000000000004,0.020610253004170104,0.09700511019943245,0.24478343010453812,0.0862514628050098,0.1294804361692466,0.5896003834167128,0.3014328536251047,0.018114096805148864,0.1282961025673644,0.15350542314789817,0.35755132125497296,0.1763674722401051,0.12829610256736448,0.35664431403831665,0.4268764932902338,0.022001886391759255,0.12049379118202361,0.23922034097278333
Hypertension ,0.020120852085320724,0.02012085208532073,0.01932947271053458,0.02029180708231498,0.019344565224486382,0.01942980411382518,0.4219740860659097,0.14828046672924822,0.019329472710534555,0.2297013985640266,0.13940203041786275,0.019831678128712192,0.019344565224486368,0.019790181978756354,0.020291807082314983,0.1992464349737301,0.020120852085320804,0.2431225151175896,0.020070070872306424,0.020332017035136988,0.019347951223074953,0.01967442195270146,0.020610253004170104,0.9999999999999997,0.020070070872306334,0.14210069048733082,0.13727216487700242,0.019547527696193404,0.01947455181549465,0.17113492647046616,0.1627248159069434,0.0192688779361846,0.23148764574199282,0.01942980411382511,0.15430139173176285,0.01926887793618461,0.1315315478336444,0.1476452931767485,0.020106347083734526,0.01939174700855207,0.3823510273384499
Hyperthyroidism,0.0212965309191579,0.021296530919157907,0.01851550586317542,0.021522257292841764,0.1569129439806547,0.1340287777628834,0.019919045578467767,0.10492051314937512,0.01851550586317539,0.08673819004884083,0.09427595714649285,0.3831591597745741,0.019632616065482812,0.020226689794414436,0.021522257292841712,0.01929018536990269,0.1729640707176835,0.16505098168471677,0.10446723220553585,0.10047015858920695,0.1392033823432004,0.11531491077109485,0.09700511019943245,0.020070070872306334,1.0000000000000002,0.3621096310409422,0.34787746504319395,0.0199079707248599,0.22459022967444273,0.21913343133735252,0.2176821824380669,0.01896083493647728,0.02129653091915791,0.019177073547833916,0.28252668595534697,0.01896083493647734,0.2311361143542023,0.19576042671285424,0.021281178377751904,0.12970190966777367,0.01906733878480657
Hypoglycemia,0.0216517243673032,0.021651724367303192,0.12391642476512908,0.02188555436765094,0.01987845246481216,0.12898669712726327,0.020175481943221982,0.18411419698456488,0.22919682547943127,0.14915585626106265,0.3175785625419173,0.2838832491260847,0.0198784524648122,0.020494295347805832,0.02188555436765099,0.13006757958854845,0.15886323343916728,0.2960747425110307,0.18328727697254366,0.09662052311959067,0.24858480506768074,0.2966420771969546,0.24478343010453812,0.14210069048733082,0.3621096310409422,0.9999999999999987,0.17315739601012095,0.02016426451274268,0.2152691841579365,0.4121103715924917,0.3991951600322889,0.01913814137378508,0.2960747425110299,0.13502106020393362,0.1832872769725435,0.019138141373785087,0.2212371428600286,0.35324240687226105,0.02163611576907084,0.12476881116004562,0.3632528918141076
Hypothyroidism,0.022013409460300074,0.02201340946030008,0.018777966841114463,0.02225504825584266,0.02013711263392745,0.1191155422356667,0.14223551922757077,0.1729689684701024,0.018777966841114446,0.0771866044342919,0.08384173225946795,0.1805058096885272,0.020137112633927434,0.020773911699245456,0.022255048255842694,0.019686175490324025,0.022013409460300042,0.022013409460300046,0.017639262999327148,0.16504842776755985,0.12357816039737331,0.10244014328963297,0.0862514628050098,0.13727216487700242,0.34787746504319395,0.17315739601012095,0.9999999999999988,0.020432974470107345,0.10782624519360869,0.018381118425779656,0.20533775881566818,0.01933287124845546,0.022013409460300056,0.01956491214971031,0.09284612071924779,0.019332871248455466,0.07908344191563504,0.09676995677420015,0.021997540125453515,0.11516903268643816,0.019447195045055897
Impetigo,0.22839367833889226,0.2526721620939123,0.019191962188111297,0.020173883935663384,0.019220927073556292,0.1857908689023554,0.01943427715545791,0.2734535154609212,0.019191962188111263,0.11627888506620615,0.24345677735809448,0.019675404100656647,0.019220927073556222,0.21750414911433413,0.24376330492022688,0.019383311685754055,0.02000335944163616,0.02000335944163616,0.019907970724859878,0.020164264512742686,0.019217081122748076,0.019524033029257443,0.1294804361692466,0.019547527696193404,0.0199079707248599,0.02016426451274268,0.020432974470107345,0.9999999999999988,0.16110729212876296,0.16105350303635274,0.01952403302925744,0.01913818037775577,0.020003359441636136,0.019298748903232965,0.1391243070423332,0.20188362116896208,0.11903460987648777,0.14534428980672318,0.019988939139792026,0.01925410400972299,0.019217081122748114
Jaundice,0.20074498233614296,0.020375908934723727,0.41194087288318715,0.02057565946232893,0.01908895183881467,0.29954169118451635,0.019341234782555033,0.329275389084782,0.5431148602635235,0.1828418304652965,0.2917720552825758,0.23543578367001838,0.019088951838814656,0.18142340345226263,0.19390623161306497,0.15673733314928862,0.19133442198476394,0.19133442198476394,0.4309620057692462,0.5107374219447689,0.30449525139235945,0.5967715809136526,0.5896003834167128,0.01947455181549465,0.22459022967444273,0.2152691841579365,0.10782624519360869,0.16110729212876296,0.9999999999999956,0.2636353664350436,0.01825869772718564,0.018660485553461954,0.19133442198476375,0.3070601985296375,0.22459022967444248,0.018660485553461875,0.3571383174177278,0.44172922886984445,0.02036122006418446,0.150620041916807,0.16162468800401178
Malaria,0.20067795935870222,0.020369106004613242,0.14954295335518064,0.19384149189784958,0.019082578586673695,0.16290106826752362,0.019334777300393277,0.22552739230272761,0.2806731455128692,0.3553730165533385,0.5790671372140845,0.018178928029840242,0.01908257858667362,0.01960646201276577,0.020568789841260933,0.15668500306052902,0.3621719758410599,0.3621719758410599,0.436480724366245,0.018284252341772396,0.161570726167994,0.24958049542067995,0.3014328536251047,0.17113492647046616,0.21913343133735252,0.4121103715924917,0.018381118425779656,0.16105350303635274,0.2636353664350436,0.9999999999999951,0.1339165485468494,0.018654255353893662,0.3621719758410596,0.16290106826752304,0.32766668270091653,0.018654255353893597,0.3570190792025925,0.6425028085571937,0.020354422038265544,0.018486642017328907,0.447216452198572
Migraine,0.020690726017689197,0.020690726017689186,0.01844217940355483,0.020899584253277807,0.16557035511695886,0.018955367133878423,0.019534894297370715,0.11581456882874784,0.01844217940355479,0.09581097402050105,0.10858191411320142,0.22287669953327638,0.01927063263270817,0.019819248561575013,0.020899584253277866,0.1489753165414189,0.02069072601768924,0.02069072601768924,0.018023702161989345,0.01805299390411802,0.018854142608293926,0.018164270335816232,0.018114096805148864,0.1627248159069434,0.2176821824380669,0.3991951600322889,0.20533775881566818,0.01952403302925744,0.01825869772718564,0.1339165485468494,0.9999999999999984,0.018755989694830607,0.18188292653461363,0.14773885061526876,0.01802370216198934,0.01875598969483067,0.018422796101464554,0.11531491077109475,0.020675810197403045,0.018519678417021453,0.15356296810515313
Osteoarthritis,0.019901884399111884,0.019901884399111877,0.018630320420949864,0.020082242417761412,0.37718435965538827,0.018869245220163332,0.2019959295293253,0.018995983873618158,0.01863032042094983,0.020249403551482397,0.12472014590509639,0.018813000890372005,0.018922201689179304,0.019393759320570452,0.02008224241776143,0.018958968865830098,0.019901884399111884,0.019901884399111884,0.13808532046375055,0.019138141373785042,0.018782473307003188,0.15233055281499033,0.1282961025673644,0.0192688779361846,0.01896083493647728,0.01913814137378508,0.01933287124845546,0.01913818037775577,0.018660485553461954,0.018654255353893662,0.018755989694830607,0.9999999999999984,0.019901884399111867,0.018869245220163353,0.018960834936477242,0.18224876950854438,0.020009722294393757,0.018960834936477263,0.019887537250017205,0.018696502934983122,0.0187824733070032
Paralysis (brain hemorrhage),0.02036725202469728,0.02036725202469728,0.20285063639178166,0.02052790087996325,0.01981467228502091,0.020052069556413872,0.020014487360224337,0.16576048688170958,0.2028506363917814,0.1376760227144061,0.28280275165660007,0.02095838110075032,0.01981467228502086,0.02023184974340605,0.02052790087996325,0.21209049477177375,0.2585398123646868,0.25853981236468676,0.16505098168471635,0.021651724367303175,0.019975610152155907,0.18188292653461327,0.15350542314789817,0.23148764574199282,0.02129653091915791,0.2960747425110299,0.022013409460300056,0.020003359441636136,0.19133442198476375,0.3621719758410596,0.18188292653461363,0.019901884399111867,0.9999999999999997,0.2208130055705082,0.02129653091915794,0.019901884399111874,0.14098333055067405,0.3088054324502786,0.020352569394872618,0.020162273820501696,0.41805871548963447
Peptic Ulcer Disease,0.020052069556413886,0.02005206955641388,0.32689295886514186,0.020232863643059137,0.019082390666196443,0.01904030710172743,0.019309484845226932,0.1346058334409426,0.4728969937617934,0.020510450063306863,0.2334323153786883,0.019020900206154132,0.019082390666196422,0.019554978275597143,0.020232863643059183,0.18093681341788143,0.2208130055705084,0.2208130055705091,0.3763764105102349,0.2446453227634458,0.1779763401638813,0.4194838157594902,0.35755132125497296,0.01942980411382511,0.019177073547833916,0.13502106020393362,0.01956491214971031,0.019298748903232965,0.3070601985296375,0.16290106826752304,0.14773885061526876,0.018869245220163353,0.2208130055705082,1.0000000000000018,0.019177073547833903,0.018869245220163287,0.21865104696240026,0.2615247062951863,0.02003761413974015,0.018877355713831676,0.18672989884326552
Pneumonia,0.17296407071768363,0.021296530919157883,0.018515505863175387,0.16727130924625644,0.01963261606548273,0.49122811472528477,0.019919045578467767,0.28381997453494007,0.018515505863175366,0.5111087833948881,0.3240301708926273,0.10913858072278321,0.019632616065482833,0.020226689794414412,0.02152225729284169,0.2701457823699801,0.021296530919157976,0.4683860612817701,0.017700972963043148,0.18760817010558714,0.1392033823431997,0.11531491077109465,0.1763674722401051,0.15430139173176285,0.28252668595534697,0.1832872769725435,0.09284612071924779,0.1391243070423332,0.22459022967444248,0.32766668270091653,0.01802370216198934,0.018960834936477242,0.02129653091915794,0.019177073547833903,0.9999999999999981,0.018960834936477322,0.6729181249117023,0.2915805564849981,0.021281178377751873,0.1297019096677735,0.01906733878480655
